"Fp1","Fpz","Fp2","F7","F3","Fz","F4","F8","FC5","FC1","FC2","FC6","T7","C3","Cz","C4","T8","CP5","CP1","CP2","CP6","P7","P3","Pz","P4","P8","POz","O1","Oz","O2"
24.8229453125,16.9631953125,14.06943359375,8.25276953125,13.806703125,4.946125,6.2535234375,38.98721875,16.7865390625,16.89324609375,2.482421875,10.31254296875,19.6866640625,9.93109765625,5.3978515625,-9.16461328125,26.22419140625,7.07640234375,6.43814453125,-7.15148828125,3.745515625,17.13997265625,10.1967265625,-6.82350390625,6.222171875,19.7388203125,1.0603203125,11.46359765625,8.4581796875,5.116359375
28.2349453125,20.3561953125,17.70343359375,10.54276953125,17.247703125,8.652125,9.3325234375,41.96721875,20.6135390625,21.33324609375,5.511421875,13.27054296875,22.2496640625,15.16809765625,10.1478515625,-4.54661328125,32.79119140625,15.16140234375,12.33614453125,0.53351171875,11.726515625,22.40697265625,17.1287265625,0.28049609375,14.264171875,23.9838203125,6.5113203125,14.58959765625,12.2301796875,9.333359375
29.0619453125,21.2231953125,18.84243359375,10.58676953125,18.336703125,10.237125,11.0695234375,42.49221875,21.5735390625,23.53424609375,7.678421875,15.36054296875,21.4366640625,18.20409765625,13.3778515625,-0.71161328125,34.51219140625,19.72940234375,16.54714453125,6.56251171875,17.160515625,24.32697265625,21.6987265625,5.75149609375,20.068171875,26.6958203125,10.7533203125,17.52059765625,15.6491796875,13.076359375
27.2269453125,19.4641953125,17.35543359375,8.46276953125,16.846703125,9.521125,11.3365234375,40.54721875,19.6285390625,23.24824609375,8.779421875,16.48754296875,17.7246640625,18.83009765625,14.8398515625,2.19638671875,31.63719140625,20.53040234375,18.78314453125,10.70351171875,19.867515625,22.97097265625,23.7097265625,9.31749609375,23.407171875,27.6968203125,13.6053203125,20.05159765625,18.4191796875,16.250359375
23.4509453125,15.7721953125,13.86643359375,4.96676953125,13.244703125,6.940125,10.3035234375,36.93621875,15.5785390625,20.81624609375,8.776421875,16.62854296875,12.6126640625,17.34209765625,14.6498515625,4.10238671875,26.00419140625,18.17540234375,19.08914453125,13.05051171875,20.244515625,19.36897265625,23.4587265625,11.01549609375,24.582171875,27.2118203125,15.0853203125,21.93059765625,20.2181796875,18.754359375
18.9959453125,11.4021953125,9.54743359375,1.29176953125,8.590703125,3.408125,8.3425234375,32.94721875,10.7625390625,17.03824609375,7.838421875,15.75654296875,8.0666640625,14.38909765625,13.2418515625,4.98438671875,20.09119140625,13.93340234375,17.79614453125,13.90651171875,18.954515625,15.09297265625,21.5477265625,11.10449609375,24.187171875,25.6758203125,15.3203203125,22.88559765625,20.8031796875,20.440359375
15.3249453125,7.8341953125,5.81143359375,-1.31523046875,4.309703125,0.0981249999999996,5.9795234375,29.87321875,6.7245390625,13.01424609375,6.390421875,13.94654296875,6.0196640625,10.89109765625,11.3028515625,4.96738671875,16.06619140625,9.52640234375,15.52414453125,13.72251171875,16.750515625,11.77497265625,18.7917265625,10.05349609375,22.916171875,23.5348203125,14.5503203125,22.73659765625,20.1501796875,21.174359375
13.6669453125,6.2981953125,3.87243359375,-1.89923046875,1.787703125,-1.891875,3.8205234375,28.54521875,4.7885390625,9.88824609375,5.038421875,11.51854296875,7.7576640625,7.88509765625,9.6348515625,4.40838671875,15.17219140625,6.72640234375,13.11314453125,13.04451171875,14.421515625,10.57797265625,16.1257265625,8.50949609375,21.432171875,21.1428203125,13.1853203125,21.55259765625,18.5631796875,20.945359375
14.5019453125,7.2301953125,4.22143359375,-0.178230468750001,1.811703125,-1.975875,2.3475234375,29.01121875,5.5285390625,8.45424609375,4.303421875,8.98854296875,13.1436640625,6.20109765625,8.8778515625,3.77238671875,17.35819140625,6.61740234375,11.35814453125,12.35251171875,12.635515625,11.68297265625,14.3367265625,7.12949609375,20.199171875,18.7438203125,11.7463203125,19.76959765625,16.6561796875,19.926359375
17.2259453125,9.9441953125,6.29343359375,3.22976953125,4.124703125,-0.422875,1.6365234375,30.51121875,8.3785390625,8.77824609375,4.289421875,6.80654296875,20.2276640625,6.06309765625,9.1918515625,3.34538671875,21.21019140625,8.93940234375,10.65614453125,11.82151171875,11.642515625,14.11997265625,13.7027265625,6.31549609375,19.308171875,16.5198203125,10.6823203125,18.11359765625,15.1681796875,18.433359375
20.3599453125,12.8811953125,8.67343359375,7.00976953125,7.500703125,1.710125,1.2875234375,31.85921875,11.8285390625,10.15924609375,4.567421875,5.13154296875,25.9106640625,6.98909765625,10.1528515625,3.03038671875,24.47219140625,12.14340234375,10.83714453125,11.22551171875,11.156515625,16.26197265625,13.8737265625,6.05949609375,18.484171875,14.6508203125,10.1773203125,17.29359765625,14.6621796875,16.814359375
22.3329453125,14.4391953125,9.88543359375,9.83776953125,10.413703125,3.180125,0.720523437499999,32.07021875,14.2875390625,11.55124609375,4.454421875,3.86754296875,27.6536640625,8.16909765625,11.0118515625,2.47738671875,25.16219140625,14.36840234375,11.36414453125,10.15551171875,10.627515625,16.79197265625,14.1757265625,6.04649609375,17.358171875,13.3408203125,10.1343203125,17.62959765625,15.2731796875,15.386359375
22.3929453125,13.9151953125,9.27843359375,11.12376953125,11.922703125,3.329125,-0.329476562500001,30.90821875,15.0635390625,12.20424609375,3.523421875,2.94054296875,25.1536640625,9.06509765625,11.1868515625,1.42138671875,22.69419140625,14.68740234375,11.76014453125,8.39951171875,9.744515625,15.49197265625,14.1397265625,5.95449609375,15.827171875,12.7658203125,10.3223203125,18.85859765625,16.6481796875,14.402359375
20.9749453125,11.8831953125,7.38243359375,11.23376953125,12.119703125,2.475125,-1.5354765625,28.98721875,14.7135390625,12.07024609375,1.953421875,2.50454296875,20.6096640625,9.73109765625,10.6138515625,-0.0756132812499994,18.22419140625,13.62740234375,11.88314453125,6.16051171875,8.699515625,13.21397265625,13.7887265625,5.66749609375,14.176171875,12.9448203125,10.5393203125,20.27459765625,18.1311796875,14.018359375
19.2799453125,9.7411953125,5.47943359375,11.02476953125,11.842703125,1.620125,-2.1624765625,27.37421875,14.4345390625,11.65624609375,0.445421875,2.86354296875,17.2206640625,10.54409765625,9.7028515625,-1.68961328125,13.95019140625,12.52240234375,11.83514453125,3.91551171875,7.991515625,11.05297265625,13.4247265625,5.23149609375,12.827171875,13.5988203125,10.6303203125,21.11359765625,19.0581796875,14.193359375
18.3819453125,8.7401953125,4.71543359375,11.05076953125,11.909703125,1.730125,-1.5894765625,26.93621875,15.0135390625,11.50624609375,-0.246578125,4.15654296875,16.9686640625,11.62909765625,8.9588515625,-3.13361328125,11.80519140625,12.27240234375,11.63214453125,2.02651171875,7.929515625,9.47597265625,13.1757265625,4.64149609375,11.916171875,14.1128203125,10.3963203125,20.93059765625,19.0261796875,14.618359375
18.5219453125,9.2161953125,5.38643359375,11.12076953125,12.488703125,3.102125,0.229523437499999,27.84521875,16.1635390625,11.73224609375,0.182421875,6.08654296875,19.3136640625,12.51309765625,8.5808515625,-4.41261328125,12.41219140625,12.56640234375,11.00814453125,0.44851171875,8.277515625,8.17497265625,12.7617265625,3.69649609375,11.071171875,13.6758203125,9.5623203125,19.76959765625,18.0061796875,14.779359375
19.0529453125,10.4951953125,6.85443359375,10.50976953125,13.042703125,5.226125,2.6725234375,29.53321875,16.7355390625,11.95924609375,1.412421875,7.94054296875,21.7136640625,12.36009765625,8.3468515625,-5.80961328125,14.92119140625,12.20140234375,9.56314453125,-1.23648828125,8.323515625,6.68197265625,11.7347265625,2.11949609375,9.618171875,11.6468203125,7.9183203125,18.05659765625,16.2901796875,14.208359375
19.0029453125,11.4761953125,8.07243359375,8.66576953125,12.819703125,7.173125,4.7935234375,31.06521875,15.6195390625,11.67124609375,2.738421875,8.94354296875,21.5456640625,10.63309765625,7.8218515625,-7.61161328125,17.72119140625,10.19140234375,7.15314453125,-3.46748828125,7.368515625,5.07197265625,9.9647265625,-0.15850390625,7.120171875,7.9908203125,5.5603203125,16.34559765625,14.3361796875,12.791359375
17.8339453125,11.4121953125,8.31043359375,5.84476953125,11.479703125,8.191125,5.8655234375,31.70521875,12.6615390625,10.66524609375,3.527421875,8.75654296875,18.0726640625,7.65309765625,6.7178515625,-9.76061328125,19.38119140625,6.77340234375,4.18614453125,-6.31548828125,5.295515625,4.07497265625,7.9407265625,-2.78050390625,3.854171875,3.5158203125,3.0073203125,15.06059765625,12.5841796875,10.895359375
15.8509453125,10.3861953125,7.60943359375,3.20976953125,9.412703125,8.146125,5.7965234375,31.32521875,8.9895390625,9.27224609375,3.586421875,7.77354296875,13.1156640625,4.64809765625,5.1408515625,-11.69361328125,19.22619140625,3.55440234375,1.57014453125,-9.30748828125,2.817515625,4.55597265625,6.6357265625,-5.02450390625,0.840171874999999,-0.314179687499999,1.0743203125,14.40759765625,11.3461796875,9.202359375
14.0319453125,9.2051953125,6.71043359375,2.25876953125,7.563703125,7.542125,5.1595234375,30.43221875,6.4915390625,8.20524609375,3.242421875,7.00954296875,9.9376640625,3.18809765625,3.5848515625,-12.50461328125,17.45119140625,2.65040234375,0.32314453125,-11.59048828125,1.229515625,6.85697265625,6.9887265625,-6.12550390625,-0.608828125,-1.9821796875,0.5243203125,14.42259765625,10.7881796875,8.356359375
